MONA_CD,HG_NM,HJ_NM,ENG_NM,BTH_GBN_NM,BTH_DATE,SEX_GBN_NM,REELE_GBN_NM,UNITS,UNIT_CD,UNIT_NM,POLY_NM,ORIG_NM,ELECT_GBN_NM
K5F2023J,이학영,李學永,LEE HACKYOUNG,양,1952-04-16,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 군포시을,지역구
AJV31724,이학재,李鶴宰,LEE HAGJAE,음,1964-08-19,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,인천 서구갑,지역구
9ZP9014Q,이해찬,李海瓚,LEE HAECHAN,양,1952-07-10,남,7선,"제13대, 제14대, 제15대, 제16대, 제17대, 제19대, 제20대",100020,제20대,더불어민주당,세종특별자치시,지역구
EVH1507C,이헌승,李憲昇,LEE HUNSEUNG,양,1963-05-11,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,부산 부산진구을,지역구
MBS2896E,이현재,李賢在,LEE HYUNJAE,양,1949-04-25,남,재선,"제19대, 제20대",100020,제20대,무소속,경기 하남시,지역구
LCJ77278,이혜훈,李惠薰,LEE HYEHOON,양,1964-06-15,여,3선,"제17대, 제18대, 제20대",100020,제20대,미래통합당,서울 서초구갑,지역구
QXD2505Y,이후삼,李厚三,LEE HU SAM,양,1969-09-18,남,초선,제20대,100020,제20대,더불어민주당,충북 제천시단양군,지역구
BTP28870,이훈,李薰,LEE HOON,양,1965-09-06,남,초선,제20대,100020,제20대,더불어민주당,서울 금천구,지역구
UM51067K,인재근,印在謹,IN JAEKEUN,음,1953-11-11,여,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 도봉구갑,지역구
EH27538E,임이자,林利子,LIM LEEJA,양,1964-03-05,여,재선,"제20대, 제21대",100020,제20대,새누리당,비례대표,비례대표
BIR8594P,임재훈,林哉勳,LIM JAEHUN,양,1966-01-01,남,초선,제20대,100020,제20대,민생당,비례대표,비례대표
E6U4345C,임종성,林鍾聲,LIM JONGSEONG,양,1965-08-05,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 광주시을,지역구
V8I36226,장병완,張秉浣,CHANG BYOUNGWAN,양,1952-05-05,남,3선,"제18대, 제19대, 제20대",100020,제20대,민생당,광주 동구남구갑,지역구
WNN9272X,장석춘,張錫春,JANG SEOKCHUN,양,1957-08-18,남,초선,제20대,100020,제20대,미래한국당,경북 구미시을,지역구
0AI7568W,장정숙,張貞淑,CHANG JUNGSOOK,양,1952-01-17,여,초선,제20대,100020,제20대,민생당,비례대표,비례대표
CZB4125D,장제원,張濟元,CHANG JEWON,양,1967-04-13,남,3선,"제18대, 제20대, 제21대",100020,제20대,무소속,부산 사상구,지역구
9YO73104,전재수,田載秀,CHUN JAESOO,양,1971-04-20,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,부산 북구강서구갑,지역구
BM63269Y,전해철,全海澈,JEON HAECHEOL,양,1962-05-18,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 안산시상록구갑,지역구
25G2571T,전현희,全賢姬,JEON HYUNHEUI,양,1964-11-04,여,재선,"제18대, 제20대",100020,제20대,더불어민주당,서울 강남구을,지역구
N9X9673B,전혜숙,全惠淑,JUN HYESOOK,양,1955-05-05,여,3선,"제18대, 제20대, 제21대",100020,제20대,더불어민주당,서울 광진구갑,지역구
QZF33498,전희경,全希卿,JUN HEEKYUNG,음,1975-10-09,여,초선,제20대,100020,제20대,미래통합당,비례대표,비례대표
CYD5815E,정갑윤,鄭甲潤,JEONG KABYOON,음,1950-11-08,남,5선,"제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,울산 중구,지역구
ARP89147,정동영,鄭東泳,CHUNG DONGYOUNG,양,1953-07-27,남,4선,"제15대, 제16대, 제18대, 제20대",100020,제20대,민생당,전북 전주시병,지역구
P303213F,정병국,鄭柄國,CHOUNG BYOUNGGUG,양,1958-02-10,남,5선,"제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,경기 여주시양평군,지역구
V429892C,정성호,鄭成湖,JUNG SUNGHO,양,1961-09-10,남,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 양주시,지역구
DCN7433W,정세균,丁世均,CHUNG SYEKYUN,음,1950-09-26,남,6선,"제15대, 제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,서울 종로구,지역구
0E97245Y,정양석,鄭亮碩,CHEONG YANGSEOG,음,1958-11-25,남,재선,"제18대, 제20대",100020,제20대,미래통합당,서울 강북구갑,지역구
ZGA4092Y,정용기,鄭容起,JEONG YONGKI,양,1962-06-01,남,재선,"제19대, 제20대",100020,제20대,미래통합당,대전 대덕구,지역구
VHK3402G,정우택,鄭宇澤,CHUNG WOOTAIK,양,1953-02-18,남,5선,"제15대, 제16대, 제19대, 제20대, 제21대",100020,제20대,새누리당,충북 청주시상당구,지역구
NZF1659U,정운천,鄭雲天,CHUNG WOONCHUN,양,1954-04-10,남,재선,"제20대, 제21대",100020,제20대,새누리당,전북 전주시을,지역구
0GF6251P,정유섭,鄭有燮,JUNG YOUSUB,양,1954-12-06,남,초선,제20대,100020,제20대,미래통합당,인천 부평구갑,지역구
DQL3007B,정은혜,鄭恩惠,JUNG EUNHYE,양,1983-09-08,여,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
DKB8522X,정인화,鄭仁和,JEONG INHWA,양,1957-07-27,남,초선,제20대,100020,제20대,무소속,전남 광양시곡성군구례군,지역구
9S468336,정재호,鄭在浩,JUNG JAEHO,양,1965-10-22,남,초선,제20대,100020,제20대,더불어민주당,경기 고양시을,지역구
LJK4960Z,정점식,鄭点植,JEONG JEOMSIG,양,1965-07-15,남,재선,"제20대, 제21대",100020,제20대,자유한국당,경남 통영시고성군,지역구
CJX51868,정종섭,鄭宗燮,CHONG JONGSUP,양,1957-06-16,남,초선,제20대,100020,제20대,미래통합당,대구 동구갑,지역구
NQR1206Q,정진석,鄭鎭碩,CHUNG JINSUK,양,1960-09-04,남,5선,"제16대, 제17대, 제18대, 제20대, 제21대",100020,제20대,새누리당,충남 공주시부여군청양군,지역구
MD083627,정춘숙,鄭春淑,JUNG CHOUNSOOK,양,1964-01-08,여,재선,"제20대, 제21대",100020,제20대,더불어민주당,비례대표,비례대표
06571503,정태옥,鄭泰沃,CHOUNG TAEOK,양,1961-11-27,남,초선,제20대,100020,제20대,무소속,대구 북구갑,지역구
8KB8281W,제윤경,諸閏景,JE YOUNKYUNG,양,1971-07-25,여,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
5KV82250,조경태,趙慶泰,CHO KYOUNGTAE,양,1968-01-10,남,5선,"제17대, 제18대, 제19대, 제20대, 제21대",100020,제20대,새누리당,부산 사하구을,지역구
IWK63872,조배숙,趙培淑,CHO BAESOOK,양,1956-09-10,여,4선,"제16대, 제17대, 제18대, 제20대",100020,제20대,민생당,전북 익산시을 ,지역구
FYI20317,조승래,趙承來,JO SEOUNGLAE,음,1968-02-21,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,대전 유성구갑,지역구
VNF2868Z,조원진,趙源震,CHO WONJIN,음,1959-01-07,남,3선,"제18대, 제19대, 제20대",100020,제20대,우리공화당,대구 달서구병,지역구
CDL93608,조응천,趙應天,CHO EUNGCHEON,양,1962-09-17,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 남양주시갑,지역구
IN328264,조정식,趙正湜,CHO JEONGSIK,양,1963-12-25,남,5선,"제17대, 제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 시흥시을,지역구
D397960C,조훈현,曺薰鉉,CHO HOONHYUN,양,1953-03-10,남,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
AFQ26679,주광덕,朱光德,JOO KWANGDEOK,음,1960-07-26,남,재선,"제18대, 제20대",100020,제20대,미래통합당,경기 남양주시병,지역구
GCA42857,주승용,朱昇鎔,JOO SEUNGYONG,양,1952-07-27,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,민생당,전남 여수시을,지역구
